Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
ATA02;109386;7086;392254.31;7005300.33;37.5;12.1;25000;6;1 - Celesc;
ATA02;109382;10098;392100.82;7004438.69;10;0.5;0;7;1 - Celesc;
ATA02;109383;7085;392632.22;7004293.56;10;1.7;0;6;1 - Celesc;
ATA02;109385;7089;392623.37;7004835.03;10;5;0;6;1 - Celesc;
ATA02;109387;7087;392417.53;7005719.92;37.5;5.9;17000;6;1 - Celesc;
ATA02;109388;7088;393107.2;7005637.3;10;2.6;0;6;1 - Celesc;
ATA02;109389;9790;393292.03;7006091.81;10;3.3;0;6;1 - Celesc;
ATA02;109390;7090;393288.8;7004994.29;25;4.2;15400;6;1 - Celesc;
ATA02;109391;5666;393717.89;7004971.42;10;2.7;0;6;1 - Celesc;
ATA02;109392;7092;394498.5;7004473.13;15;3.1;0;7;1 - Celesc;
ATA02;109393;7343;394664.35;7004123.25;5;0;0;6;1 - Celesc;
ATA02;109394;7093;395017.05;7004427.46;10;1.4;0;6;1 - Celesc;
ATA02;109398;7096;395371.22;7006494.53;10;0.7;0;6;1 - Celesc;
ATA02;109395;7098;395190.15;7005538.65;15;5.5;14000;6;1 - Celesc;
ATA02;109396;7094;394598.755331522;7005369.68143401;10;1.5;6000;6;1 - Celesc;
ATA02;109397;11536;394600.04;7005505.24;25;3.2;0;6;1 - Celesc;
ATA02;109399;7097;395343.94;7007048.24;10;5.8;0;6;1 - Celesc;
ATA02;109400;7095;394474.73;7005925.96;25;4.3;0;6;1 - Celesc;
ATA02;109401;7100;396391.58;7006026.01;10;2.5;0;6;1 - Celesc;
ATA02;109402;7101;396100.52;7005123.69;15;3.9;0;6;1 - Celesc;
ATA02;109403;7102;396241.96;7004351.34;10;2.8;0;6;1 - Celesc;
ATA02;109404;8629;395848.52;7012808.81;15;2.3;0;6;1 - Celesc;
ATA02;109405;11252;396390.83;7012326.22;25;3.3;0;6;1 - Celesc;
ATA02;109406;8626;396000.35;7012086.23;5;0.2;0;6;1 - Celesc;
ATA02;109407;12046;395216.01;7011935.2;10;1.3;0;6;1 - Celesc;
ATA02;109408;9260;394994.57;7012057.27;10;2.1;0;6;1 - Celesc;
ATA02;109412;9243;397255.92;7012735.38;10;1.8;6000;6;1 - Celesc;
ATA02;109409;8627;395277.11;7011250.84;10;0;0;6;1 - Celesc;
ATA02;109410;8628;395470.66;7010703.87;37.5;16.8;0;6;1 - Celesc;
ATA02;109411;8625;396920;7012061.98;5;0;0;6;1 - Celesc;
ATA02;109413;8624;397437.17;7013550.28;30;3.1;0;21;1 - Celesc;
ATA02;109186;10090;392718.01;7001342.31;15;6.1;0;6;1 - Celesc;
ATA02;109187;8861;393086.32;7001774.49;15;1.1;0;6;1 - Celesc;
ATA02;109184;8860;392406.61;7000944.97;10;0;0;6;1 - Celesc;
ATA02;109185;7306;392079.59;7000891.65;10;3.5;0;6;1 - Celesc;
ATA02;109188;12018;393018.57;7001289.29;30;11.1;0;21;1 - Celesc;
ATA02;109189;7169;393079.53;7001107.11;10;0;0;6;1 - Celesc;
ATA02;109190;7788;393304.53;7000860.75;75;17.9;0;21;1 - Celesc;
ATA02;109191;7170;393540.63;7001339.83;30;6.2;0;21;1 - Celesc;
ATA02;109192;9737;393614.1;7001776.11;10;0.7;0;6;1 - Celesc;
ATA02;109193;11645;393374.17;7002109.94;10;0.6;0;6;1 - Celesc;
ATA02;109194;7171;393583.55;7000711.17;15;6.2;0;6;1 - Celesc;
ATA02;109195;10091;393674.27;7000527.85;10;0;0;6;1 - Celesc;
ATA02;109196;10089;393871.23;7000250.26;10;0.1;0;6;1 - Celesc;
ATA02;109197;9221;393377.82;6999975.03;10;1.4;0;6;1 - Celesc;
